commitMsg,changeType,bugFix,featureAddition,performanceImprovement
"add file delete retry to testcluster elasticsearchnode (#89095)          add retry logic for cleanup / deletion in testcluster's     elasticsearchnode, to tolerate the asynchronous nature of deletions     on the windows file-system.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
fix object equals for sqlqueryrequest's binarycommunication (#87887)          co-authored-by: owenniceliu <owenniceliu@tencent.com>,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,0,0
"handling the master stability health case where there has never been an elected master node (#89137)          if a master-eligible node comes up and has never seen an elected master     node (and assuming that a quorum requires more than one node), then it     ought to report that the master stability health is red because it     cannot form a quorum.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1
remove unused datastream snapshot utility from metadata (#88535)          this method was introduced to fix datastream snapshots during     concurrent index/datastream changes but was never actually     used because we went with a different approach in the end.     => remove it and its tests,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,0,0
[ml] add new trained model deployment cache clear api (#89074)          this adds a new `_ml/trained_models/<model_id>/deployment/cache/_clear` api. this will clear the inference cache on every node where the model is allocated.,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,0,1
"deduplicate fetching doc-values fields (#89094)          if a docvalues field matches multiple field patterns, then es will     return the value of that doc-values field multiple times. like fetching     fields from source, we should deduplicate the matching doc-values     fields.","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 29, 0]",0,0,1
"in the field capabilities api, re-add support for `fields` in the request body (#88972)          we previously removed support for `fields` in the request body, to ensure there     was only one way to specify the parameter. we've now decided to undo the     change, since it was disruptive and the request body is actually the best place to     pass variable-length data like `fields`.          this pr restores support for `fields` in the request body. it throws an error     if the parameter is specified both in the url and the body.          closes #86875","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 1, 0]",0,0,1
"[tsdb] metric fields in the field caps api (#88695)          to assist the user in configuring the visualizations correctly while leveraging tsdb     functionality, information about tsdb configuration should be exposed via the field     caps api per field.          especially for metrics fields, it must be clear which fields are metrics and if they belong     to only time-series indexes or mixed time-series and non-time-series indexes.          to further distinguish metric fields when they belong to any of the following indices:          -  standard (non-time-series) indexes     -  time series indexes     -  downsampled time series indexes          this pr modifies the field caps api so that the mapping parameters time_series_dimension     and time_series_dimension are presented only when they are set on fields of time-series indexes.     those parameters are completely ignored when they are set on standard (non-time-series) indexes.          this pr revisits some of the conventions adopted by #78790","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 18, 0]",1,1,1
[ml] ecs grok patterns in the _text_structure/find_structure endpoint (#88982)          also add support for new catalina/tomcat timestamp formats used by ecs grok patterns          relates #77065          co-authored-by: david roberts <dave.roberts@elastic.co>,"[0, 0, 0, 0, 7, 15, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 3, 0, 2, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 40, 0, 0, 42, 0]",0,0,1
avoid expensive call to span.fromcontextornull(null) (#89135)          workaround for #89107,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]",0,0,1
override bulk visit methods of exitable point visitor (#82120)          ,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,1
fix failing test rollupactionit.testrollupindex (#89101)          fixes #88949     ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
[ml] extract method for finding max task memory in autoscaling decider (#89126)          ,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 1, 0]",0,1,1
maybeschedulenow with delay 0 instead of 1 (#89110)          replace the 1 millisecond delay to 0 when we want to schedule a     monitoring task now.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,0,1
[transform][ci] add debug logging to find the cause of #88991 (#89080)          add debug logging to find the cause of #88991,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,1
add verification metadata for dependencies (#88814)          removing the custom dependency checksum functionality in favor of gradle build-in dependency verification support.          - use sha256 in favor of sha1 as sha1 is not considered safe these days.          closes https://github.com/elastic/elasticsearch/issues/69736,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0]",0,0,1
"adjust wording in frozen tier allocation deciders (#88843)          the allocation deciders for dedicated/non-dedicated     frozen nodes use the `frozen searchable snapshot` terms     for what was renamed later (in #72699) to partially     mounted indices.          hopefully not controversial, this changes makes the     wording of the deciders more coherent with the current     documentation.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,1,1
"[ml] optimize frequent items transaction lookup (#89062)          represent transactions as bitsets for faster lookups when iterating over candidate sets. this pr implements     a lookup table and a subset check based on bits. it uses this lookup table to map transactions to items, this     so-called horizontal representation is used to speedup the lookup that checks if a transaction contains the     candidate item set","[0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 1, 4, 0, 6, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 7, 4, 11, 14, 0]",1,1,1
add test in vector tiles with runtime fields (#89044)          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
deprecate the _knn_search endpoint (#88828)          this change deprecates the knn search api in favor of the new 'knn' option     inside the search api. the 'knn' option is now the preferred way of performing     knn search.          relates to #87625,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,1,1
[ml] move pytorch request id and cache hit indicator to top level (#88901)          this change will facilitate a performance improvement on the c++     side. the request id and cache hit indicator are the parts that     need to be changed when the c++ process responds to an inference     request. having them at the top level means we do not need to     parse and manipulate the original response - we can simply cache     the inner object of the response and add the outer fields around     it when serializing it.          companion to elastic/ml-cpp#2376,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 9, 13, 0, 1, 67, 0]",0,0,1
[ml] include start params in _stats for non-started model deployments (#89091)          adds the missing start parameters to the _stats api response     for non-started deployments.          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,1
adjust logging message for adding index block (#85237)          ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"fix failing test `rollupactionsinglenodetests` `testcannotrolluptoexistingindex`  (#89025)          the root cause of this failure was that test testcannotrollupwhileotherrollupinprogress     would finish before the asynchronously submitted rollup action had not completed. in this     case the test would finish and delete the rollup index, while the rollup process was still trying     to populate or replicate it. it looks like using the actionlistener.noop was not a good choice.          fixes https://github.com/elastic/elasticsearch/issues/88844","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
fixing a race condition in coordinationdiagnosticsserviceit #89055          this makes sure that the test cluster is stable in coordinationdiagnosticsserviceit::testblockclusterstateprocessingononenode before proceeding with the rest of test.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,0,0
"provide tracing implementation using opentelemetry +  apm agent (#88443)          part of #84369. implement the `tracer` interface by providing a     module that uses opentelemetry, along with elastic's apm     agent for java.          see the file `tracing.md` for background on the changes and the     reasoning for some of the implementation decisions.          the configuration mechanism is the most fiddly part of this pr. the     security manager permissions required by the apm java agent make     it prohibitive to start an agent from within elasticsearch     programmatically, so it must be configured when the es jvm starts.     that means that the startup cli needs to assemble the required jvm     options.          to complicate matters further, the apm agent needs a secret token     in order to ship traces to the apm server. we can't use java system     properties to configure this, since otherwise the secret will be     readable to all code in elasticsearch. it therefore has to be     configured in a dedicated config file. this in itself is awkward,     since we don't want to leave secrets in config files. therefore,     we pull the apm secret token from the keystore, write it to a config     file, then delete the config file after es starts.          there's a further issue with the config file. any options we set     in the apm agent config file cannot later be reconfigured via system     properties, so we need to make sure that only `static` configuration     goes into the config file.          i generated most of the files under `qa/apm` using an apm test     utility (i can't remember which one now, unfortunately). the goal     is to setup up a complete system so that traces can be captured in     apm server, and the results in elasticsearch inspected.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 18, 0]",1,1,1
[ml] mute tests for inference result format change (#89075)          these tests will fail if elastic/ml-cpp#2376 with     them unmuted. #88901 will follow up with the java     side changes.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1
