commitMsg,changeType,bugFix,featureAddition,performanceImprovement
"Merge changes I6892f028,I2e52c3ab          * changes:     RELAND MediaCodec: don't cache buffers until requested     Revert `MediaCodec: don't cache buffers until requested`     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Correct mapping for `boot-after-ota` compilation reason`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"RELAND MediaCodec: don't cache buffers until requested          Do not cache input/output buffers until explicitly requested.          Track validity of buffers before getInput/OutputBuffers so that the     dequeued buffers are marked accessible when the array is returned     to the client.          Bug: 189889230     Bug: 236106096     Test: manual     Change-Id: I6892f02853f00c3e355c827ec943fbdf183469f1     ","[0, 0, 9, 0, 0, 2, 0, 4, 0, 0, 0, 1, 11, 0, 0, 6, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40, 0, 4, 20, 0]","1","1","1"
"Correct mapping for `boot-after-ota` compilation reason          The `boot` compilation reason is now deprecated (since Android S),     but the mapping between PackageManagerService.REASON_BOOT_AFTER_OTA     and the corresponding value in ART_COMPILATION_FILTER has not been     updated (or it has been incorrect all along). Note that this will     require a change in APC/Pitot to make sure that both the previous and     the new value for this ID are treated in the same way (so we don't     lose data logged ahead of this change, which is still valid, just     associated with an unexpected ID).          Bug: 239548426     Test: atest ArtStatsLogUtilsTest     Change-Id: I38b4a16768f32f8ed2ecfe5d5c389ad4ec3b6b6e     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Reword ambiguous documentation in Parcel`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `VolumeDialogImpl: Respect multiple visible rows in landscape`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Make Vpn more testable with a wrapper class`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Tidy up VPN code`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Tidy up VPN code          This commit addressed the comments in different commits, it did     - Make isVpnApp() to be a static method.     - Rename getRedactedNetworkCapabilitiesOfUnderlyingNetwork to     getRedactedNetworkCapabilities and rename     getRedactedLinkPropertiesOfUnderlyingNetwork to     getRedactedLinkProperties.     - Reduce the scope of synchronized block in handleSessionLost().     - Fast return when there is an IllegalArgumentException in     handleSessionLost().     - Remove inaccurate comment.     - Update the document of mCurrentToken.     - Define an initial token value of IKE session.     - Add `/* exeception */` annotation to handleSessionLost(null)     calls.          Bug: 236409954     Test: atest FrameworksNetTests:VpnTest     Change-Id: I8c938f8796345dc2eee6c8eff513b0f993bc8165     ","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 0]","1","1","1"
"Make Vpn more testable with a wrapper class          This commit creates a wrapper class for NetworkAgent to make the     Vpn code more testable.          Bug: 192077544     Test: atest VpnTest     Change-Id: Ia599fed8c874ea9622a1f56f686de293bcbfddb8     ","[0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0]","1","1","1"
